Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
11,Combrecheb,Montcria,Montcria Deanery,Chuelia,Diocese of Chuelia,Luari,Faith of Fateaux,capital,5742,164.73,477.42,22.28,-20.92,324,15°C,Rome (Italy),capital,,citadel,walls,plaza,temple,shanty town,{t1:azure;division:{division:perBendSinister;t:bendySinister-argent-purpure;line:straight};ordinaries:[{ordinary:bordure;t:or}];shield:french},https://watabou.github.io/city-generator/?name=Combrecheb&population=5742&size=25&seed=2563131000011&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=1&walls=1&shantytown=1&style=natural
12,Alasay,Sazeli,Sazeli Barony,Boy,Boyan Khaganate,Turchian,Kocapism,capital,1578,595.69,331.16,29.27,-0.3,16,13°C,Milan (Italy),capital,port,citadel,walls,,,,{t1:or;division:{division:perPile;t:azure;line:straight};ordinaries:[{ordinary:pilesInPoint;t:sable}];shield:round},https://watabou.github.io/city-generator/?name=Alasay&population=1578&size=15&seed=2563131000012&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=1.31
13,Serelnay,Combrechienia,Combrechienia County,Sounevandilia,Duchy of Sounevandilia,Luari,Faith of Fateaux,capital,1489,52.05,485.86,21.87,-26.31,144,17°C,Lisbon (Portugal),capital,,citadel,walls,plaza,temple,,{t1:gules;ordinaries:[{ordinary:bordure;t:argent}];charges:[{charge:heart;t:azure;p:ABCDEFGHIJKL;t2:azure;t3:or;size:0.18};{charge:wyvern;t:or;p:e;size:1.1}];shield:french},https://watabou.github.io/city-generator/?name=Serelnay&population=1489&size=15&seed=2563131000013&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=1&walls=1&shantytown=0&style=natural
14,Yerinte,Umanyurt,Umanyurt Parish,Yerinte,Imamah of Yerinte,Turchian,Yerinish Creed,capital,15479,504.9,528.47,19.83,-4.65,4,19°C,Marrakesh (Morocco),capital,port,citadel,walls,plaza,,,{t1:sable;charges:[{charge:portcullis;t:argent;p:abcpqh;t2:argent;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Yerinte&population=15479&size=37&seed=2563131000014&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=1&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=1.96
15,Edi,Derenkor,Derenkor County,Alprakeli,Alprakelian Horde,Turchian,Kocapism,capital,11315,380.16,548.73,18.87,-10.61,289,17°C,Lisbon (Portugal),capital,,citadel,walls,plaza,,,{t1:azure;division:{division:perFess;t:chequy-or-gules;line:rayonne};charges:[{charge:crossBottony;t:argent;p:k;size:0.7};{charge:rustre;t:azure;p:n;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Edi&population=11315&size=32&seed=2563131000015&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
16,Tamanos,Helcosia,Helcosia County,Peina,Principality of Peina,Elladan,Tamanian Heresy,capital,3397,1056.11,560.01,18.33,21.72,361,18°C,Barcelona (Spain),capital,port,citadel,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:terrace;t:gules;line:rayonne}];charges:[{charge:roundel;t:sable;p:bdf;size:0.5}];shield:boeotian},https://watabou.github.io/city-generator/?name=Tamanos&population=3397&size=21&seed=2563131000016&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
17,Sazkay,Sazkay,Sazkay Earldom,Sazkyurt,Beylik of Sazkyurt,Turchian,Kocapism,capital,3857,324.12,592.08,16.79,-13.29,4,21°C,Tegucigalpa (Honduras),capital,port,citadel,walls,,,,{t1:argent;division:{division:perSaltire;t:azure};ordinaries:[{ordinary:chevronReversed;t:vert;divided:counter}];shield:round},https://watabou.github.io/city-generator/?name=Sazkay&population=3857&size=22&seed=2563131000017&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=1.59
18,Stran,Leinia,Leinia Earldom,Lauda,Grand Duchy of Lauda,Norse,Kocapism,capital,643,268.07,219.23,34.62,-15.98,81,9°C,Copenhagen (Denmark),capital,port,citadel,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:quarter;t:azure}];shield:heater},https://watabou.github.io/city-generator/?name=Stran&population=643&size=11&seed=2563131000018&river=1&coast=1&farms=0&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=0.78
19,Linbury,Linbury,Linbury County,Stansburia,Stansburian Empire,Angshire,Bramburghism,capital,1856,894.57,337.21,28.98,14,25,13°C,Milan (Italy),capital,port,citadel,walls,,,,{t1:gules;division:{division:perFess;t:argent;line:straight};charges:[{charge:lamb;t:or;p:k;t2:or;size:0.7;sinister:1};{charge:crossHummetty;t:azure;p:n;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Linbury&population=1856&size=16&seed=2563131000019&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=1.54
20,Asbekekin,Asbekekin,Asbekekin Earldom,Sazkyurt,Beylik of Sazkyurt,Turchian,Kocapism,town,1010,328.14,523.34,20.08,-13.1,16,19°C,Marrakesh (Morocco),,,,,,,,{t1:argent;division:{division:perBend;t:sable;line:wavy};charges:[{charge:bell;t:gules;p:l;t2:gules;size:0.7};{charge:drakkar;t:argent;p:m;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Asbekekin&population=1010&size=13&seed=2563131000020&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
21,Newbigrara,Kirbuteria,Kirbuteria Earldom,Sagelia,Grand Duchy of Sagelia,Angshire,Bramburghism,town,3766,1032.72,275.6,31.92,20.61,16,11°C,Antwerp (Belgium),,port,,,,,,{t1:argent;charges:[{charge:harp;t:azure;p:e;t2:azure;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Newbigrara&population=3766&size=21&seed=2563131000021&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.97
22,Allos,New Sazkay,New Sazkay Colony,Sazkyurt,Beylik of Sazkyurt,Astellian,Kocapism,town,7503,416.03,623.29,15.3,-8.9,16,21°C,Tegucigalpa (Honduras),,,,,,,,{t1:or;charges:[{charge:deerHeadCaboshed;t:azure;p:e;t2:azure;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Allos&population=7503&size=28&seed=2563131000022&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
23,Ponta,Soniatania,Soniatania Land,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,town,967,258.68,470.3,22.62,-16.42,324,15°C,Rome (Italy),,,,,,,,{t1:sable;ordinaries:[{ordinary:bendSinister;t:argent;line:straight}];charges:[{charge:boarHeadErased;t:purpure;p:lem;t2:purpure;t3:or;size:0.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Ponta&population=967&size=13&seed=2563131000023&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
24,Hochenschw,Enheim,Enheim Clan,Malscken,Grand Duchy of Malscken,Shwazen,Shwazen Religion,town,738,386.78,428.98,24.59,-10.3,400,13°C,Milan (Italy),,,,,,,,{t1:argent;ordinaries:[{ordinary:chief;t:azure;line:straight}];charges:[{charge:hourglass;t:argent;p:abc;t2:sable;t3:vert;size:0.5}];shield:swiss},https://watabou.github.io/city-generator/?name=Hochenschw&population=738&size=12&seed=2563131000024&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
25,Zubnobori,Binghambe,Binghambe Parish,Orporpor,Orporpor Theocracy,Slovan,Bramburghism,town,657,970.36,354.86,28.13,17.62,169,13°C,Milan (Italy),,,,walls,,,,{t1:sable;charges:[{charge:scythe;t:or;p:e;t2:or;size:1.5}];shield:polish},https://watabou.github.io/city-generator/?name=Zubnobori&population=657&size=11&seed=2563131000025&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
26,Sezesezia,Sezesezia,Sezesezia County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,town,10103,244.2,441.38,24,-17.12,1089,9°C,Copenhagen (Denmark),,,,,,,,{t1:purpure;division:{division:perFess;t:or;line:rayonne};charges:[{charge:fusil;t:argent;p:k;size:0.7};{charge:martenCourant;t:gules;p:n;size:0.7}];shield:horsehead},https://watabou.github.io/city-generator/?name=Sezesezia&population=10103&size=31&seed=2563131000026&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
27,Yaztoprak,Ayvarkeli,Ayvarkeli County,Boy,Boyan Khaganate,Turchian,Kocapism,city,542,685.12,242.32,33.51,3.98,121,9°C,Copenhagen (Denmark),,,citadel,walls,,,,{t1:or;division:{division:perFess;t:purpure;line:arched};ordinaries:[{ordinary:gyron;t:azure}];shield:round},https://watabou.github.io/city-generator/?name=Yaztoprak&population=542&size=10&seed=2563131000027&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
28,Gayayasi,Gayayasi,Gayayasi Territory,Sazkyurt,Beylik of Sazkyurt,Turchian,Kocapism,town,2309,301.68,490.74,21.64,-14.37,1444,9°C,Copenhagen (Denmark),,,,,,,,{t1:gules;division:{division:perBend;t:or;line:straight};ordinaries:[{ordinary:pall;t:argent}];shield:round},https://watabou.github.io/city-generator/?name=Gayayasi&population=2309&size=18&seed=2563131000028&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
29,Kilkleigh,Hitchia,Hitchia Area,Sagelia,Grand Duchy of Sagelia,Angshire,Bramburghism,town,1023,990.31,229.16,34.14,18.58,25,10°C,London (England),,port,,,,,,{t1:gules;charges:[{charge:fleurDeLis;t:or;p:beh;size:0.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Kilkleigh&population=1023&size=13&seed=2563131000029&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.33
30,Secilbenzon,Secilbenzon,Secilbenzon Margrave,Alprakeli,Alprakelian Horde,Astellian,Kocapism,city,1842,396.89,602.89,16.28,-9.81,25,21°C,Tegucigalpa (Honduras),,,,,,,,{t1:argent;ordinaries:[{ordinary:pale;t:azure;line:embattled}];charges:[{charge:lochaberAxe;t:azure;p:y;t2:sable;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Secilbenzon&population=1842&size=16&seed=2563131000030&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
31,Wingengen,Belternia,Belternia County,Tutachinia,Duchy of Tutachinia,Shwazen,Shwazen Religion,town,561,368.44,385.82,26.65,-11.17,121,13°C,Milan (Italy),,,,walls,,,,{t1:vert;charges:[{charge:axe;t:or;p:jlh;t2:or;size:0.7}];shield:swiss},https://watabou.github.io/city-generator/?name=Wingengen&population=561&size=11&seed=2563131000031&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
32,Er Yurke,Yasyurt,Yasyurt Earldom,Sazkyurt,Beylik of Sazkyurt,Turchian,Kocapism,city,2898,300.39,503.03,21.05,-14.43,729,13°C,Milan (Italy),,,,walls,,temple,,{t1:argent;ordinaries:[{ordinary:pile;t:gules}];charges:[{charge:fleurDeLis;t:argent;p:b;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Er+Yurke&population=2898&size=19&seed=2563131000032&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=1&walls=1&shantytown=0&style=natural
33,Clifnal,Bosheadia,Bosheadia Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,4957,1083.72,383.53,26.76,23.05,16,14°C,Washington (D.C.),,,,walls,,,,{t1:argent;charges:[{charge:bridge2;t:purpure;p:e;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Clifnal&population=4957&size=24&seed=2563131000033&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
34,Vellena,Vellena,Vellena Captaincy,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,city,2639,125.37,554.97,18.57,-22.8,169,19°C,Marrakesh (Morocco),,,,walls,,,,{t1:purpure;charges:[{charge:arrow;t:or;p:jln;t2:or;t3:or;size:0.7}];shield:horsehead},https://watabou.github.io/city-generator/?name=Vellena&population=2639&size=19&seed=2563131000034&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
35,Oviivijarku,Jung,Jung Region,Boy,Boyan Khaganate,Soumi,Kocapism,town,5972,509.53,163.63,37.28,-4.42,9,8°C,Prague (Czechia),,port,,,,,,{t1:azure;ordinaries:[{ordinary:pile;t:argent}];charges:[{charge:lanceHead;t:azure;p:b;size:0.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Oviivijarku&population=5972&size=25&seed=2563131000035&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.88
36,Aslanenyol,Kesenbyurt,Kesenbyurt Barony,Boy,Boyan Khaganate,Turchian,Kocapism,town,7116,672.93,414.99,25.26,3.39,225,14°C,Washington (D.C.),,,,,,,,{t1:or;ordinaries:[{ordinary:pileInBend;t:azure}];charges:[{charge:lionHeadCaboshed;t:purpure;p:cg;t2:purpure;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Aslanenyol&population=7116&size=27&seed=2563131000036&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
37,Lochijodurum,Aberporth,Aberporth Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,town,4996,791.04,493.52,21.51,9.04,729,13°C,Milan (Italy),,,,walls,,,,{t1:argent;charges:[{charge:comet;t:sable;p:bhdf;size:0.5}];shield:oval},https://watabou.github.io/city-generator/?name=Lochijodurum&population=4996&size=24&seed=2563131000037&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
38,Bane,Derenkor,Derenkor County,Alprakeli,Alprakelian Horde,Turchian,Kocapism,village,1894,376.17,518.07,20.33,-10.8,169,17°C,Lisbon (Portugal),,,citadel,,,,,{t1:azure;division:{division:perFess;t:argent;line:dovetailedIndented};charges:[{charge:crossCarolingian;t:or;p:k;size:0.7};{charge:frog;t:purpure;p:n;size:0.7}];shield:round},https://watabou.github.io/village-generator/?pop=1894&name=Bane&seed=2563131000038&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
39,Boykut,Kaltaylyurt,Kaltaylyurt Area,Sazkyurt,Beylik of Sazkyurt,Turchian,Kocapism,town,4170,299.12,528.73,19.82,-14.49,1156,11°C,Antwerp (Belgium),,,,walls,,,,{t1:argent;division:{division:perPale;t:gules;line:nowy};charges:[{charge:archer;t:azure;p:p;t2:azure;t3:azure;size:0.7};{charge:fusil;t:or;p:q;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Boykut&population=4170&size=22&seed=2563131000039&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
40,Yazsuyol,Yasyurt,Yasyurt Earldom,Sazkyurt,Beylik of Sazkyurt,Turchian,Kocapism,town,7142,295.3,515.92,20.43,-14.67,1089,11°C,Antwerp (Belgium),,,,,,,,{t1:argent;charges:[{charge:castle;t:sable;p:e;t2:vert;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Yazsuyol&population=7142&size=27&seed=2563131000040&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
41,Mitlewent,Louth,Louth Territory,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,7371,1030.9,393.94,26.27,20.52,400,12°C,Paris (France),,,,walls,,,,{t1:or;charges:[{charge:key;t:purpure;p:e;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Mitlewent&population=7371&size=28&seed=2563131000041&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
42,Inverduron,Agosindyria,Agosindyria Land,Abergia,Kingdom of Abergia,Keltan,Bramburghism,town,6756,908.3,480.68,22.12,14.65,225,16°C,Dubrovnik (Croatia),,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:bend;t:argent;line:arched}];charges:[{charge:lozengeFaceted;t:sable;p:joe;size:0.5}];shield:oval},https://watabou.github.io/city-generator/?name=Inverduron&population=6756&size=27&seed=2563131000042&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
43,Mackingley,Crafland,Crafland Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,2531,1180.43,352,28.27,27.67,16,14°C,Washington (D.C.),,port,,,,,,{t1:or;charges:[{charge:anchor;t:sable;p:e;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Mackingley&population=2531&size=18&seed=2563131000043&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.66
44,Schwewald,Oteria,Oteria Barony,Malscken,Grand Duchy of Malscken,Shwazen,Shwazen Religion,town,853,377.32,469.7,22.64,-10.75,9,17°C,Lisbon (Portugal),,,,,,,,{t1:sable;charges:[{charge:crossVoided;t:or;p:e;size:1.5}];shield:swiss},https://watabou.github.io/city-generator/?name=Schwewald&population=853&size=12&seed=2563131000044&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
45,Chlatulais,Aberporth,Aberporth Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,village,2538,775.4,489.69,21.69,8.3,1156,10°C,London (England),,,,,,,,{t1:or;charges:[{charge:swan;t:gules;p:e;t2:purpure;t3:gules;size:1.5}];shield:oval},https://watabou.github.io/village-generator/?pop=2538&name=Chlatulais&seed=2563131000045&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
46,Chipton,Cleoleshole,Cleoleshole Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,3111,1015.73,396.47,26.15,19.79,9,15°C,Rome (Italy),,,,,,,,{t1:purpure;charges:[{charge:swanErased;t:argent;p:jln;t2:argent;t3:argent;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Chipton&population=3111&size=20&seed=2563131000046&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
47,Albrighin,Olingia,Olingia Territory,Stansburia,Stansburian Empire,Angshire,Bramburghism,village,1508,853.29,291.88,31.15,12.02,9,12°C,Paris (France),,,,,,,,{t1:argent;division:{division:perCross;t:azure;line:straight};charges:[{charge:drakkar;t:sable;p:j;t2:sable;t3:sable;size:0.6};{charge:saw;t:argent;p:l;size:0.6};{charge:fusil;t:argent;p:m;size:0.6};{charge:centaur;t:azure;p:o;size:0.6}];shield:wedged},https://watabou.github.io/village-generator/?pop=1508&name=Albrighin&seed=2563131000047&width=1600&height=780&style=default&tags=isolated%2Cno+square%2Cdense
48,Grambedondo,Kirbuteria,Kirbuteria Earldom,Sagelia,Grand Duchy of Sagelia,Angshire,Bramburghism,town,8428,1010.13,270.02,32.19,19.53,529,8°C,Prague (Czechia),,,,,,,,{t1:argent;charges:[{charge:mitre;t:vert;p:jlh;t2:azure;t3:vert;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Grambedondo&population=8428&size=29&seed=2563131000048&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
49,Lantaimancheb,Lantaimancheb,Lantaimancheb Deanery,Chuelia,Diocese of Chuelia,Luari,Faith of Fateaux,town,1639,127.32,473.72,22.45,-22.71,225,16°C,Dubrovnik (Croatia),,,,,,,,{t1:azure;ordinaries:[{ordinary:chevronReversed;t:argent}];charges:[{charge:fleurDeLis;t:argent;p:b;size:0.5}];shield:french},https://watabou.github.io/city-generator/?name=Lantaimancheb&population=1639&size=16&seed=2563131000049&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
